Step,Baseline,CS_Mode,C_Mode
20000,0.008005,4.8e-05,0.001375
40000,0.012547,0.025473,0.030857
60000,0.011424,0.026692,0.021331
80000,0.011893,0.023001,0.018993
100000,0.011698,0.018189,0.017974
120000,0.010932,0.010786,0.013053
140000,0.010734,0.009922,0.010229
160000,0.01025,0.008792,0.009796
180000,0.009857,0.008153,0.009536
200000,0.009327,0.007554,0.010003
