Classification,Categories,Step,Baseline,CS_Mode,C_Mode
gender,Female vs Male,140000,0.044125695,0.03610661,0.037371308
gender,Female vs Male,160000,0.043454155,0.03517228,0.03607112
gender,Female vs Male,180000,0.043226495,0.03574361,0.036418784
gender,Female vs Male,200000,0.043845743,0.036584664,0.036005706
heavy_makeup,Light Makeup vs Heavy Makeup,20000,0.013967801,0.012116636,0.017065754
heavy_makeup,Light Makeup vs Heavy Makeup,40000,0.015823118,0.023460047,0.04407806
heavy_makeup,Light Makeup vs Heavy Makeup,60000,0.019792572,0.041966148,0.04000224
heavy_makeup,Light Makeup vs Heavy Makeup,80000,0.024506249,0.03828982,0.036254384
heavy_makeup,Light Makeup vs Heavy Makeup,100000,0.027064411,0.034258157,0.034283053
heavy_makeup,Light Makeup vs Heavy Makeup,120000,0.02765705,0.026232097,0.026798977
heavy_makeup,Light Makeup vs Heavy Makeup,140000,0.027917273,0.024063924,0.024775924
heavy_makeup,Light Makeup vs Heavy Makeup,160000,0.027505456,0.023544056,0.023959298
heavy_makeup,Light Makeup vs Heavy Makeup,180000,0.02698591,0.023315964,0.024193611
heavy_makeup,Light Makeup vs Heavy Makeup,200000,0.02705571,0.023824807,0.0236399
high_cheekbones,Low Cheekbones vs High Cheekbones,20000,0.012206644,0.00792644,0.008553932
high_cheekbones,Low Cheekbones vs High Cheekbones,40000,0.018246839,0.02239404,0.039510444
high_cheekbones,Low Cheekbones vs High Cheekbones,60000,0.01825631,0.039236248,0.04078222
high_cheekbones,Low Cheekbones vs High Cheekbones,80000,0.021641506,0.03742829,0.037505873
high_cheekbones,Low Cheekbones vs High Cheekbones,100000,0.023698239,0.035388764,0.03556987
high_cheekbones,Low Cheekbones vs High Cheekbones,120000,0.024228085,0.03163091,0.031285767
high_cheekbones,Low Cheekbones vs High Cheekbones,140000,0.024467116,0.026450615,0.02686557
high_cheekbones,Low Cheekbones vs High Cheekbones,160000,0.024559068,0.025144035,0.025405785
high_cheekbones,Low Cheekbones vs High Cheekbones,180000,0.024070278,0.024693612,0.025370106
high_cheekbones,Low Cheekbones vs High Cheekbones,200000,0.024044547,0.024307232,0.024316307
smiling,Not Smiling vs Smiling,20000,0.018936474,0.014609156,0.016409775
smiling,Not Smiling vs Smiling,40000,0.025737347,0.031191552,0.051260695
smiling,Not Smiling vs Smiling,60000,0.024736397,0.048576675,0.05126378
smiling,Not Smiling vs Smiling,80000,0.028741619,0.04681562,0.04730371
smiling,Not Smiling vs Smiling,100000,0.031175917,0.045014847,0.0452946
smiling,Not Smiling vs Smiling,120000,0.031866122,0.04198566,0.042086966
smiling,Not Smiling vs Smiling,140000,0.0320573,0.034924988,0.03621276
smiling,Not Smiling vs Smiling,160000,0.032169957,0.03309853,0.033826184
smiling,Not Smiling vs Smiling,180000,0.031477552,0.032636788,0.033711433
smiling,Not Smiling vs Smiling,200000,0.03162022,0.032217488,0.032344144
