Step,Baseline,CS_Mode,C_Mode
20000,0.017111398666666666,0.015450315000000001,0.0212464775
40000,0.01928040766666667,0.025857958,0.04392686316666666
60000,0.020512980666666666,0.041669038,0.041231742833333335
80000,0.024134389583333332,0.038737741,0.037691200333333334
100000,0.0259302525,0.036054337666666665,0.035828808999999996
120000,0.02642956125,0.029806368333333333,0.030061658166666668
140000,0.026819837833333332,0.026578960166666665,0.027082011333333333
160000,0.0266928905,0.025811389666666667,0.02627882566666667
180000,0.026423298666666668,0.025649816000000002,0.026443536833333333
200000,0.026905187833333333,0.025526068166666666,0.025655028166666666
