Step,Baseline,CS_Mode,C_Mode
20000,-0.009394,-0.02636,-0.031491
40000,-0.0034740104,0.0009768455,0.009272
60000,-0.00044693518,0.012466972,0.011246
80000,0.002051325,0.0129702985,0.011567
100000,0.00279373,0.0122299045,0.011902
120000,0.003198448,0.0076231337,0.008527
140000,0.0035748598,0.005863481,0.00605
160000,0.0035060486,0.0049792975,0.00583
180000,0.0034835734,0.0045857974,0.005863
200000,0.003229032,0.0039770864,0.005838
